n_states,cv_folds,subtrain_sharpe,val_sharpe,subtrain_total_return,val_total_return,val_max_drawdown,subtrain_risk_on_share,val_risk_on_share,n_risk_on_states,eligible
2,3,3.2808438601587366,3.3363165143190265,0.26882377847278316,0.1296637776201345,-0.007681956142503826,1.0,1.0,2,False
3,3,3.107748652669853,3.204857371791243,0.2560929772093796,0.12424463784994584,-0.0077528231552514,0.4896988906497623,0.508716323296355,2,True
4,3,2.690397467719585,3.8179108688975028,0.08972220301177909,0.08086726807036466,0.0,0.06937841169219934,0.07765451664025357,2,False
5,3,0.9375497949760269,1.336650275425095,0.03670586834424546,0.011650474944448005,0.0,0.0049304455009684806,0.004754358161648178,2,False
6,3,0.7083083925017964,0.8948512482761528,0.023891690390032954,0.001978378881709153,0.0,0.0024652227504842403,0.0010565240359218173,2,False
